No,year,month,day,hour,local,temp,humidity,metter
1,2022,8,7,9,1,22.5,35.4,3
2,2022,8,7,9,2,23,35.6,3
3,2022,8,7,9,3,23,36.5,2
4,2022,8,7,9,4,22.8,36.8,3
5,2022,8,7,9,5,22.7,36.9,2
6,2022,8,7,9,6,22.6,35.6,1
7,2022,8,7,10,1,22.4,34.1,2
8,2022,8,7,10,2,23.2,38,2
9,2022,8,7,10,3,23.3,37.1,1
10,2022,8,7,10,4,23.1,37.2,1
11,2022,8,7,10,5,23.4,37.3,2
12,2022,8,7,10,6,23.5,38.4,3
13,2022,8,7,11,1,23.8,38.5,2
14,2022,8,7,11,2,24.7,39.2,1
15,2022,8,7,11,3,24.9,41.4,2
16,2022,8,7,11,4,24.6,42.5,0
17,2022,8,7,11,5,24.4,41.5,1
18,2022,8,7,11,6,24.4,42.5,1
19,2022,8,7,12,1,25.2,42.4,2
20,2022,8,7,12,2,25,41.9,3
21,2022,8,7,12,3,25.5,41.7,2
22,2022,8,7,12,4,25.3,42.2,2
23,2022,8,7,12,5,25.2,42.2,1
24,2022,8,7,12,6,26,42,0
25,2022,8,7,13,1,25.2,42,3
26,2022,8,7,13,2,26.1,43.3,3
27,2022,8,7,13,3,25,43.1,1
28,2022,8,7,13,4,25.2,43.1,1
29,2022,8,7,13,5,26.1,43.3,2
30,2022,8,7,13,6,25.5,43.9,2
31,2022,8,7,14,1,24.8,44.5,3
32,2022,8,7,14,2,24.6,44.4,3
33,2022,8,7,14,3,24.8,44.6,1
34,2022,8,7,14,4,24.9,45.4,1
35,2022,8,7,14,5,24.7,45.5,2
36,2022,8,7,14,6,24.8,45.6,0
37,2022,8,7,15,1,24.4,45.8,1
38,2022,8,7,15,2,24.3,45.1,1
39,2022,8,7,15,3,24,46.5,2
40,2022,8,7,15,4,24.5,45.2,1
41,2022,8,7,15,5,25.4,46.8,2
42,2022,8,7,15,6,25.5,45.4,1
43,2022,8,7,16,1,24.6,45.1,1
44,2022,8,7,16,2,24.5,45.5,1
45,2022,8,7,16,3,24.4,45.3,2
46,2022,8,7,16,4,24.2,45.2,0
47,2022,8,7,16,5,23.3,46.3,1
48,2022,8,7,16,6,23.2,45.9,2
49,2022,8,7,17,1,23.2,45.4,1
50,2022,8,7,17,2,23.3,45.1,2
51,2022,8,7,17,3,22.2,45.2,0
52,2022,8,7,17,4,22.2,45.2,1
53,2022,8,7,17,5,22.2,46.3,0
54,2022,8,7,17,6,22,45.2,1
55,2022,8,7,18,1,22.2,46.3,1
56,2022,8,7,18,2,22.1,47.1,0
57,2022,8,7,18,3,21.1,48.2,1
58,2022,8,7,18,4,21,48.5,0
59,2022,8,7,18,5,21,48.2,0
60,2022,8,7,18,6,21,49.3,0
61,2022,8,7,19,1,20.4,52.3,1
62,2022,8,7,19,2,20.3,53.5,1
63,2022,8,7,19,3,20.9,56.4,1
64,2022,8,7,19,4,20,55.6,2
65,2022,8,7,19,5,20.3,55.4,0
66,2022,8,7,19,6,20.1,54,1
67,2022,8,7,20,1,20.2,55.3,2
68,2022,8,7,20,2,18.1,56,1
69,2022,8,7,20,3,19,56.1,2
70,2022,8,7,20,4,18,55.2,1
71,2022,8,7,20,5,18,54.1,0
72,2022,8,7,20,6,19.3,54.1,1
73,2022,8,7,21,1,18.6,54.1,1
74,2022,8,7,21,2,17.5,53.2,1
75,2022,8,7,21,3,17.4,53.3,1
76,2022,8,7,21,4,17.5,51.9,0
77,2022,8,7,21,5,18.4,52.2,1
78,2022,8,7,21,6,18.2,54.1,0
