No,year,month,day,hour,local,temp,humidity,metter
1,2022,8,21,9,1,22.5,35.7,3
2,2022,8,21,9,2,22.4,35.8,2
3,2022,8,21,9,3,22.8,36.9,2
4,2022,8,21,9,4,22.7,36.4,3
5,2022,8,21,9,5,22.5,36.5,1
6,2022,8,21,9,6,22.3,35.1,1
7,2022,8,21,10,1,22.2,34,3
8,2022,8,21,10,2,23.1,38.2,2
9,2022,8,21,10,3,23.5,37.1,2
10,2022,8,21,10,4,23.4,37.5,1
11,2022,8,21,10,5,23.2,37.6,1
12,2022,8,21,10,6,23,38.4,0
13,2022,8,21,11,1,23.1,38.8,2
14,2022,8,21,11,2,24.1,39.9,1
15,2022,8,21,11,3,24.5,41.4,2
16,2022,8,21,11,4,24.6,42.5,1
17,2022,8,21,11,5,24.4,41.6,1
18,2022,8,21,11,6,24.2,42.1,0
19,2022,8,21,12,1,25.2,42.2,3
20,2022,8,21,12,2,25.1,41.3,2
21,2022,8,21,12,3,25.3,41.4,2
22,2022,8,21,12,4,25.6,42.5,1
23,2022,8,21,12,5,25.5,42.2,1
24,2022,8,21,12,6,26.4,42,0
25,2022,8,21,13,1,25.8,42.1,3
26,2022,8,21,13,2,26.9,43.5,3
27,2022,8,21,13,3,25.7,43.1,2
28,2022,8,21,13,4,25.8,43.6,1
29,2022,8,21,13,5,26.4,43.5,2
30,2022,8,21,13,6,25.1,43.8,1
31,2022,8,21,14,1,24.2,44.9,3
32,2022,8,21,14,2,24.6,44.1,2
33,2022,8,21,14,3,24.8,44.5,2
34,2022,8,21,14,4,24.9,44.3,1
35,2022,8,21,14,5,24.7,45.2,2
36,2022,8,21,14,6,24.5,44.5,2
37,2022,8,21,15,1,24.6,46.4,2
38,2022,8,21,15,2,24.4,45.2,1
39,2022,8,21,15,3,24,46.2,2
40,2022,8,21,15,4,24.1,45.1,1
41,2022,8,21,15,5,25.2,46.5,1
42,2022,8,21,15,6,25.1,45.3,1
43,2022,8,21,16,1,24.1,46,1
44,2022,8,21,16,2,24,46.1,1
45,2022,8,21,16,3,24.1,45.2,2
46,2022,8,21,16,4,24.1,46.2,0
47,2022,8,21,16,5,23.2,46.4,1
48,2022,8,21,16,6,23.3,46.3,0
49,2022,8,21,17,1,23.2,45.5,3
50,2022,8,21,17,2,23.1,45.6,2
51,2022,8,21,17,3,22.2,46.8,0
52,2022,8,21,17,4,23.4,45.2,1
53,2022,8,21,17,5,23.5,46.8,0
54,2022,8,21,17,6,22.6,45.7,0
55,2022,8,21,18,1,22.6,46.9,2
56,2022,8,21,18,2,22.8,47.8,1
57,2022,8,21,18,3,21.8,48.5,1
58,2022,8,21,18,4,21.9,48.6,0
59,2022,8,21,18,5,21.7,48.2,1
60,2022,8,21,18,6,21,49.1,1
61,2022,8,21,19,1,20.9,52.3,1
62,2022,8,21,19,2,20.5,53.2,3
63,2022,8,21,19,3,21.9,55.4,2
64,2022,8,21,19,4,21,55.5,2
65,2022,8,21,19,5,21.3,54.7,2
66,2022,8,21,19,6,20.1,54.5,1
67,2022,8,21,20,1,20.2,55.8,2
68,2022,8,21,20,2,18.3,58.8,1
69,2022,8,21,20,3,19.2,56.5,1
70,2022,8,21,20,4,18.2,55.6,1
71,2022,8,21,20,5,18.9,54.2,1
72,2022,8,21,20,6,19.2,55.3,2
73,2022,8,21,21,1,18.9,54.4,2
74,2022,8,21,21,2,17.6,54.4,2
75,2022,8,21,21,3,17.4,53.6,3
76,2022,8,21,21,4,17.7,54.5,0
77,2022,8,21,21,5,18.8,52.8,1
78,2022,8,21,21,6,18.8,54.5,0
