No,year,month,day,hour,local,temp,humidity,metter
1,2022,8,26,9,1,23.1,44.8,2
2,2022,8,26,9,2,21.2,44.7,2
3,2022,8,26,9,3,23.2,43.9,3
4,2022,8,26,9,4,22.2,43.4,2
5,2022,8,26,9,5,22.1,45.5,1
6,2022,8,26,9,6,21.2,45.1,0
7,2022,8,26,10,1,23.3,43.2,3
8,2022,8,26,10,2,23.5,44.3,3
9,2022,8,26,10,3,22.4,45,2
10,2022,8,26,10,4,23.5,45,1
11,2022,8,26,10,5,24.6,44.2,0
12,2022,8,26,10,6,23.4,46.1,2
13,2022,8,26,11,1,25.8,45.2,2
14,2022,8,26,11,2,24.4,46.1,1
15,2022,8,26,11,3,25.5,44.3,1
16,2022,8,26,11,4,22.6,40.4,1
17,2022,8,26,11,5,25.1,39.2,0
18,2022,8,26,11,6,26.1,38.3,2
19,2022,8,26,12,1,27.2,39.1,3
20,2022,8,26,12,2,27.3,37.2,1
21,2022,8,26,12,3,28.5,37.3,2
22,2022,8,26,12,4,28.2,38.2,0
23,2022,8,26,12,5,28.3,36.1,1
24,2022,8,26,12,6,27.1,36.3,1
25,2022,8,26,13,1,28.4,36.1,2
26,2022,8,26,13,2,29.5,36.5,2
27,2022,8,26,13,3,28.6,37.4,1
28,2022,8,26,13,4,27.3,35.6,2
29,2022,8,26,13,5,27.8,38.5,1
30,2022,8,26,13,6,25.2,37.4,1
31,2022,8,26,14,1,27.1,36.4,3
32,2022,8,26,14,2,26.2,37.2,2
33,2022,8,26,14,3,27.1,36.3,3
34,2022,8,26,14,4,28.1,36.2,1
35,2022,8,26,14,5,28.2,36.1,0
36,2022,8,26,14,6,26,36.9,1
37,2022,8,26,15,1,24.1,37.2,3
38,2022,8,26,15,2,25.2,37.1,3
39,2022,8,26,15,3,25,35.2,2
40,2022,8,26,15,4,24.1,36.3,1
41,2022,8,26,15,5,24.2,36.1,2
42,2022,8,26,15,6,24.3,35.2,1
43,2022,8,26,16,1,26.4,35.3,2
44,2022,8,26,16,2,25.1,35.1,3
45,2022,8,26,16,3,26.7,35.1,2
46,2022,8,26,16,4,26.8,35,1
47,2022,8,26,16,5,25.9,35.1,1
48,2022,8,26,16,6,24.4,36.5,1
49,2022,8,26,17,1,26.5,39.7,2
50,2022,8,26,17,2,25.6,37.8,2
51,2022,8,26,17,3,26.5,37.9,1
52,2022,8,26,17,4,25.1,37.4,0
53,2022,8,26,17,5,24.2,36.5,1
54,2022,8,26,17,6,26.2,35.2,2
55,2022,8,26,18,1,24.3,35,3
56,2022,8,26,18,2,24.2,33.5,3
57,2022,8,26,18,3,25.1,35.4,2
58,2022,8,26,18,4,24.2,34.5,2
59,2022,8,26,18,5,24.5,36.6,2
60,2022,8,26,18,6,24.6,35.5,2
61,2022,8,26,19,1,23.4,36.4,1
62,2022,8,26,19,2,23.2,36.8,2
63,2022,8,26,19,3,23.1,35.7,2
64,2022,8,26,19,4,24.5,36.9,0
65,2022,8,26,19,5,22.6,34.8,3
66,2022,8,26,19,6,24.2,36.7,2
67,2022,8,26,20,1,24.3,40.2,3
68,2022,8,26,20,2,24.1,39.5,1
69,2022,8,26,20,3,24,43.4,1
70,2022,8,26,20,4,23,43.5,1
71,2022,8,26,20,5,23,41.6,2
72,2022,8,26,20,6,23.1,42,0
73,2022,8,26,21,1,23.2,40,0
74,2022,8,26,21,2,22.3,39.1,2
75,2022,8,26,21,3,23.4,41.2,1
76,2022,8,26,21,4,23.6,41.1,1
77,2022,8,26,21,5,22.7,41,1
78,2022,8,26,21,6,22.8,41,1
