No,year,month,day,hour,local,temp,humidity,metter
1,2022,8,20,9,1,24.3,39.8,3
2,2022,8,20,9,2,24.4,39.7,3
3,2022,8,20,9,3,24.5,39.9,2
4,2022,8,20,9,4,24.7,39.4,2
5,2022,8,20,9,5,24.8,39.5,2
6,2022,8,20,9,6,24.3,39.1,1
7,2022,8,20,10,1,25.5,39.2,3
8,2022,8,20,10,2,24.2,38,2
9,2022,8,20,10,3,25.1,38.2,0
10,2022,8,20,10,4,25.3,38.2,1
11,2022,8,20,10,5,25.4,38.3,1
12,2022,8,20,10,6,25.5,38.4,2
13,2022,8,20,11,1,25.6,39.8,3
14,2022,8,20,11,2,26.7,39.9,2
15,2022,8,20,11,3,26.8,40.7,1
16,2022,8,20,11,4,27.4,40.5,0
17,2022,8,20,11,5,26.5,40.6,1
18,2022,8,20,11,6,27.3,41.1,2
19,2022,8,20,12,1,29,41.2,3
20,2022,8,20,12,2,29.2,41.3,2
21,2022,8,20,12,3,29.3,41.2,1
22,2022,8,20,12,4,29.4,42.1,2
23,2022,8,20,12,5,29.5,42.2,1
24,2022,8,20,12,6,29.5,42.1,2
25,2022,8,20,13,1,28.9,42.5,3
26,2022,8,20,13,2,28.7,41.5,2
27,2022,8,20,13,3,27.8,41.4,2
28,2022,8,20,13,4,27.4,41.8,1
29,2022,8,20,13,5,26.6,41.8,2
30,2022,8,20,13,6,26.5,41.9,1
31,2022,8,20,14,1,24.3,41.7,3
32,2022,8,20,14,2,25.2,41.5,2
33,2022,8,20,14,3,26.2,40.2,1
34,2022,8,20,14,4,25.1,40.4,1
35,2022,8,20,14,5,26,41.5,2
36,2022,8,20,14,6,26.1,41.6,1
37,2022,8,20,15,1,25.2,40.7,2
38,2022,8,20,15,2,25.3,41.2,1
39,2022,8,20,15,3,25.4,42,2
40,2022,8,20,15,4,25.5,42.1,0
41,2022,8,20,15,5,24.6,42.2,2
42,2022,8,20,15,6,24.7,42.3,0
43,2022,8,20,16,1,24.8,43.4,2
44,2022,8,20,16,2,24.9,43.5,1
45,2022,8,20,16,3,23.4,43.5,2
46,2022,8,20,16,4,24.5,44,1
47,2022,8,20,16,5,23.6,43.1,0
48,2022,8,20,16,6,24.1,43.1,1
49,2022,8,20,17,1,23.2,42.3,3
50,2022,8,20,17,2,23.3,42.5,2
51,2022,8,20,17,3,23.4,41.8,2
52,2022,8,20,17,4,23.5,41.2,1
53,2022,8,20,17,5,22.5,41,1
54,2022,8,20,17,6,23.8,42.1,1
55,2022,8,20,18,1,22.7,40.2,3
56,2022,8,20,18,2,22.9,40.2,3
57,2022,8,20,18,3,23.6,40.4,3
58,2022,8,20,18,4,23.8,41.6,3
59,2022,8,20,18,5,23.4,42.8,2
60,2022,8,20,18,6,23.6,42.6,2
61,2022,8,20,19,1,22.2,43.8,3
62,2022,8,20,19,2,23.1,43.7,1
63,2022,8,20,19,3,22,44.4,1
64,2022,8,20,19,4,22.5,44.4,2
65,2022,8,20,19,5,22.3,45.2,2
66,2022,8,20,19,6,21.3,43.3,1
67,2022,8,20,20,1,21.4,44,3
68,2022,8,20,20,2,21.5,45.7,2
69,2022,8,20,20,3,22.5,44.7,1
70,2022,8,20,20,4,21.5,42.5,1
71,2022,8,20,20,5,22,41.3,1
72,2022,8,20,20,6,21.5,43.2,1
73,2022,8,20,21,1,22.6,43.4,3
74,2022,8,20,21,2,21.4,43.2,2
75,2022,8,20,21,3,21.8,42.3,1
76,2022,8,20,21,4,20.9,42.9,1
77,2022,8,20,21,5,20.5,41.2,1
78,2022,8,20,21,6,20.4,40,2
